Start the test ...
Run test script from:  1000  to:  10001  step: 20
CPU threshold =  60
Memory thresold =  60
{'threads': 1860, 'errors': 0, 'overloads': 317, 'max': 2437.843, 'min': 0.61, 'avg': 891.298185483871, 'cpu_count': 2, 'cpu_percent': 71.1, 'memory_percent': 10.0, 'disk_io_read': 301217, 'disk_io_write': 34935245}
{'threads': 1880, 'errors': 0, 'overloads': 444, 'max': 2452.07, 'min': 0.619, 'avg': 1041.4611271276597, 'cpu_count': 2, 'cpu_percent': 76.2, 'memory_percent': 10.1, 'disk_io_read': 301218, 'disk_io_write': 34935245}
{'threads': 1900, 'errors': 0, 'overloads': 305, 'max': 2580.2309999999998, 'min': 0.796, 'avg': 1185.5115315789474, 'cpu_count': 2, 'cpu_percent': 74.4, 'memory_percent': 10.2, 'disk_io_read': 301218, 'disk_io_write': 41035196}
{'threads': 1920, 'errors': 0, 'overloads': 290, 'max': 2432.48, 'min': 0.8350000000000001, 'avg': 1059.87848125, 'cpu_count': 2, 'cpu_percent': 71.4, 'memory_percent': 10.2, 'disk_io_read': 301218, 'disk_io_write': 41035196}
{'threads': 1940, 'errors': 0, 'overloads': 395, 'max': 2442.774, 'min': 0.631, 'avg': 1034.1482067010309, 'cpu_count': 2, 'cpu_percent': 74.7, 'memory_percent': 10.1, 'disk_io_read': 301218, 'disk_io_write': 41035199}
{'threads': 1960, 'errors': 0, 'overloads': 368, 'max': 2591.616, 'min': 0.631, 'avg': 1137.7117948979592, 'cpu_count': 2, 'cpu_percent': 74.8, 'memory_percent': 10.2, 'disk_io_read': 301218, 'disk_io_write': 41035207}
{'threads': 1980, 'errors': 0, 'overloads': 348, 'max': 2520.94, 'min': 0.65, 'avg': 1107.1205671717173, 'cpu_count': 2, 'cpu_percent': 74.8, 'memory_percent': 10.2, 'disk_io_read': 301218, 'disk_io_write': 42730028}
{'threads': 2000, 'errors': 0, 'overloads': 512, 'max': 2411.35, 'min': 0.603, 'avg': 957.842043, 'cpu_count': 2, 'cpu_percent': 80.3, 'memory_percent': 10.3, 'disk_io_read': 301218, 'disk_io_write': 44594432}
{'threads': 2020, 'errors': 0, 'overloads': 428, 'max': 2476.6910000000003, 'min': 0.635, 'avg': 1099.8268584158413, 'cpu_count': 2, 'cpu_percent': 74.4, 'memory_percent': 10.2, 'disk_io_read': 301218, 'disk_io_write': 44594492}
{'threads': 2040, 'errors': 0, 'overloads': 389, 'max': 2793.2839999999997, 'min': 0.628, 'avg': 1282.774179901961, 'cpu_count': 2, 'cpu_percent': 73.3, 'memory_percent': 10.3, 'disk_io_read': 301218, 'disk_io_write': 50308133}
{'threads': 2060, 'errors': 0, 'overloads': 435, 'max': 2653.158, 'min': 0.599, 'avg': 1170.441139805825, 'cpu_count': 2, 'cpu_percent': 77.2, 'memory_percent': 10.3, 'disk_io_read': 301218, 'disk_io_write': 50308149}
{'threads': 2080, 'errors': 0, 'overloads': 384, 'max': 2686.982, 'min': 0.795, 'avg': 1246.8998850961539, 'cpu_count': 2, 'cpu_percent': 78.4, 'memory_percent': 10.3, 'disk_io_read': 301218, 'disk_io_write': 50308156}
{'threads': 2100, 'errors': 0, 'overloads': 406, 'max': 2737.635, 'min': 0.6040000000000001, 'avg': 1204.2444799999998, 'cpu_count': 2, 'cpu_percent': 76.9, 'memory_percent': 10.3, 'disk_io_read': 301218, 'disk_io_write': 50308158}
{'threads': 2120, 'errors': 0, 'overloads': 437, 'max': 2574.817, 'min': 0.593, 'avg': 1044.588191509434, 'cpu_count': 2, 'cpu_percent': 74.4, 'memory_percent': 10.2, 'disk_io_read': 301218, 'disk_io_write': 56929076}
{'threads': 2140, 'errors': 0, 'overloads': 468, 'max': 2837.9, 'min': 0.636, 'avg': 1291.7660387850467, 'cpu_count': 2, 'cpu_percent': 74.4, 'memory_percent': 10.3, 'disk_io_read': 301218, 'disk_io_write': 56929078}
{'threads': 2160, 'errors': 0, 'overloads': 490, 'max': 2759.9719999999998, 'min': 0.6719999999999999, 'avg': 1270.2499273148148, 'cpu_count': 2, 'cpu_percent': 83.0, 'memory_percent': 10.3, 'disk_io_read': 301221, 'disk_io_write': 56929081}
{'threads': 2180, 'errors': 0, 'overloads': 421, 'max': 2859.525, 'min': 0.6930000000000001, 'avg': 1336.7674009174311, 'cpu_count': 2, 'cpu_percent': 77.1, 'memory_percent': 10.3, 'disk_io_read': 301221, 'disk_io_write': 56929083}
{'threads': 2200, 'errors': 0, 'overloads': 395, 'max': 2795.505, 'min': 0.8270000000000001, 'avg': 1318.3503059090908, 'cpu_count': 2, 'cpu_percent': 78.4, 'memory_percent': 10.4, 'disk_io_read': 301221, 'disk_io_write': 56929108}
{'threads': 2220, 'errors': 0, 'overloads': 374, 'max': 3113.037, 'min': 0.766, 'avg': 1439.8668720720723, 'cpu_count': 2, 'cpu_percent': 79.5, 'memory_percent': 10.4, 'disk_io_read': 301221, 'disk_io_write': 56929108}
{'threads': 2240, 'errors': 0, 'overloads': 463, 'max': 3011.276, 'min': 0.66, 'avg': 1377.7301678571428, 'cpu_count': 2, 'cpu_percent': 78.0, 'memory_percent': 10.4, 'disk_io_read': 301221, 'disk_io_write': 56929110}
{'threads': 2260, 'errors': 0, 'overloads': 572, 'max': 3018.3019999999997, 'min': 0.612, 'avg': 1334.3259407079647, 'cpu_count': 2, 'cpu_percent': 76.6, 'memory_percent': 10.4, 'disk_io_read': 301221, 'disk_io_write': 56929112}
{'threads': 2280, 'errors': 0, 'overloads': 557, 'max': 3301.19, 'min': 0.6489999999999999, 'avg': 1525.0858688596493, 'cpu_count': 2, 'cpu_percent': 80.9, 'memory_percent': 10.5, 'disk_io_read': 301221, 'disk_io_write': 62931682}
{'threads': 2300, 'errors': 0, 'overloads': 533, 'max': 3392.471, 'min': 0.634, 'avg': 1544.9736465217393, 'cpu_count': 2, 'cpu_percent': 80.6, 'memory_percent': 10.4, 'disk_io_read': 301221, 'disk_io_write': 62931774}
{'threads': 2320, 'errors': 0, 'overloads': 419, 'max': 3167.634, 'min': 0.6579999999999999, 'avg': 1450.8068034482758, 'cpu_count': 2, 'cpu_percent': 77.3, 'memory_percent': 10.5, 'disk_io_read': 301221, 'disk_io_write': 62931774}
{'threads': 2340, 'errors': 0, 'overloads': 713, 'max': 3331.3990000000003, 'min': 3.316, 'avg': 1681.9421824786325, 'cpu_count': 2, 'cpu_percent': 75.2, 'memory_percent': 10.6, 'disk_io_read': 301221, 'disk_io_write': 62931789}
{'threads': 2360, 'errors': 0, 'overloads': 605, 'max': 3097.734, 'min': 0.633, 'avg': 1385.6445317796608, 'cpu_count': 2, 'cpu_percent': 82.9, 'memory_percent': 10.5, 'disk_io_read': 301221, 'disk_io_write': 62931791}
{'threads': 2380, 'errors': 0, 'overloads': 701, 'max': 2956.4230000000002, 'min': 0.804, 'avg': 1394.6701151260504, 'cpu_count': 2, 'cpu_percent': 100.0, 'memory_percent': 12.0, 'disk_io_read': 301223, 'disk_io_write': 62931794}
{'threads': 2400, 'errors': 0, 'overloads': 688, 'max': 3256.456, 'min': 0.603, 'avg': 1364.565885, 'cpu_count': 2, 'cpu_percent': 80.9, 'memory_percent': 10.4, 'disk_io_read': 301223, 'disk_io_write': 62931796}
{'threads': 2420, 'errors': 0, 'overloads': 711, 'max': 3708.185, 'min': 0.656, 'avg': 1724.1391867768596, 'cpu_count': 2, 'cpu_percent': 87.3, 'memory_percent': 10.6, 'disk_io_read': 301228, 'disk_io_write': 62931803}
{'threads': 2440, 'errors': 0, 'overloads': 761, 'max': 3196.8849999999998, 'min': 0.624, 'avg': 1424.3237286885246, 'cpu_count': 2, 'cpu_percent': 86.2, 'memory_percent': 10.5, 'disk_io_read': 301229, 'disk_io_write': 62931807}
{'threads': 2460, 'errors': 0, 'overloads': 502, 'max': 3529.491, 'min': 0.665, 'avg': 1689.2847735772357, 'cpu_count': 2, 'cpu_percent': 80.5, 'memory_percent': 10.6, 'disk_io_read': 301229, 'disk_io_write': 70884277}
{'threads': 2480, 'errors': 0, 'overloads': 725, 'max': 3090.308, 'min': 0.614, 'avg': 1357.5691983870968, 'cpu_count': 2, 'cpu_percent': 94.1, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 70884279}
{'threads': 2500, 'errors': 0, 'overloads': 728, 'max': 3018.335, 'min': 0.615, 'avg': 1321.4189616, 'cpu_count': 2, 'cpu_percent': 84.3, 'memory_percent': 10.6, 'disk_io_read': 301229, 'disk_io_write': 70884296}
{'threads': 2520, 'errors': 0, 'overloads': 757, 'max': 3364.25, 'min': 0.652, 'avg': 1507.4770353174601, 'cpu_count': 2, 'cpu_percent': 85.0, 'memory_percent': 10.5, 'disk_io_read': 301229, 'disk_io_write': 70884296}
{'threads': 2540, 'errors': 0, 'overloads': 499, 'max': 3329.0679999999998, 'min': 0.597, 'avg': 1596.0531901574805, 'cpu_count': 2, 'cpu_percent': 82.4, 'memory_percent': 10.6, 'disk_io_read': 301229, 'disk_io_write': 77889892}
{'threads': 2560, 'errors': 0, 'overloads': 555, 'max': 3313.71, 'min': 0.631, 'avg': 1631.3394250000001, 'cpu_count': 2, 'cpu_percent': 82.8, 'memory_percent': 10.6, 'disk_io_read': 301229, 'disk_io_write': 87346087}
{'threads': 2580, 'errors': 0, 'overloads': 768, 'max': 3327.361, 'min': 0.7929999999999999, 'avg': 1600.789699224806, 'cpu_count': 2, 'cpu_percent': 74.5, 'memory_percent': 10.7, 'disk_io_read': 301229, 'disk_io_write': 102500910}
{'threads': 2600, 'errors': 0, 'overloads': 683, 'max': 3551.2000000000003, 'min': 0.628, 'avg': 1705.394696923077, 'cpu_count': 2, 'cpu_percent': 83.6, 'memory_percent': 10.7, 'disk_io_read': 301229, 'disk_io_write': 109908815}
{'threads': 2620, 'errors': 0, 'overloads': 729, 'max': 3426.634, 'min': 0.622, 'avg': 1603.541248854962, 'cpu_count': 2, 'cpu_percent': 86.5, 'memory_percent': 10.6, 'disk_io_read': 301229, 'disk_io_write': 109908817}
{'threads': 2640, 'errors': 0, 'overloads': 795, 'max': 4206.362, 'min': 0.669, 'avg': 2126.473667045455, 'cpu_count': 2, 'cpu_percent': 84.9, 'memory_percent': 10.7, 'disk_io_read': 301229, 'disk_io_write': 109908820}
{'threads': 2660, 'errors': 0, 'overloads': 493, 'max': 3646.369, 'min': 0.752, 'avg': 1726.724330827068, 'cpu_count': 2, 'cpu_percent': 87.8, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 114757490}
{'threads': 2680, 'errors': 0, 'overloads': 792, 'max': 3647.109, 'min': 0.608, 'avg': 1651.6153425373136, 'cpu_count': 2, 'cpu_percent': 85.2, 'memory_percent': 10.7, 'disk_io_read': 301229, 'disk_io_write': 114757536}
{'threads': 2700, 'errors': 0, 'overloads': 775, 'max': 3949.236, 'min': 0.584, 'avg': 1897.6586218518519, 'cpu_count': 2, 'cpu_percent': 85.5, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 114757544}
{'threads': 2720, 'errors': 0, 'overloads': 807, 'max': 3648.3379999999997, 'min': 0.617, 'avg': 1622.6689341911765, 'cpu_count': 2, 'cpu_percent': 85.4, 'memory_percent': 10.7, 'disk_io_read': 301229, 'disk_io_write': 114757546}
{'threads': 2740, 'errors': 0, 'overloads': 817, 'max': 3610.014, 'min': 0.62, 'avg': 1705.5410959854014, 'cpu_count': 2, 'cpu_percent': 87.6, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 114757549}
{'threads': 2760, 'errors': 0, 'overloads': 840, 'max': 3838.7639999999997, 'min': 0.637, 'avg': 1782.0491148550725, 'cpu_count': 2, 'cpu_percent': 89.2, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 122690144}
{'threads': 2780, 'errors': 0, 'overloads': 868, 'max': 3756.1800000000003, 'min': 0.634, 'avg': 1754.6888661870505, 'cpu_count': 2, 'cpu_percent': 87.0, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 131480845}
{'threads': 2800, 'errors': 0, 'overloads': 860, 'max': 3879.529, 'min': 0.62, 'avg': 1742.9558928571428, 'cpu_count': 2, 'cpu_percent': 92.3, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 131480847}
{'threads': 2820, 'errors': 0, 'overloads': 826, 'max': 3468.1459999999997, 'min': 0.584, 'avg': 1521.5259982269502, 'cpu_count': 2, 'cpu_percent': 87.6, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 131480849}
{'threads': 2840, 'errors': 0, 'overloads': 815, 'max': 3989.888, 'min': 0.593, 'avg': 1913.7240411971834, 'cpu_count': 2, 'cpu_percent': 81.9, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 131480857}
{'threads': 2860, 'errors': 0, 'overloads': 718, 'max': 3805.476, 'min': 0.621, 'avg': 1700.2903853146854, 'cpu_count': 2, 'cpu_percent': 89.9, 'memory_percent': 10.8, 'disk_io_read': 301229, 'disk_io_write': 131480859}
{'threads': 2880, 'errors': 0, 'overloads': 696, 'max': 4176.009, 'min': 0.611, 'avg': 2059.89473125, 'cpu_count': 2, 'cpu_percent': 88.9, 'memory_percent': 10.9, 'disk_io_read': 301229, 'disk_io_write': 131480861}
{'threads': 2900, 'errors': 0, 'overloads': 876, 'max': 3948.623, 'min': 0.615, 'avg': 1890.0740796551725, 'cpu_count': 2, 'cpu_percent': 88.8, 'memory_percent': 10.9, 'disk_io_read': 301229, 'disk_io_write': 140961266}
